datetime,open,high,low,close
2022-05-04 23:00:00,39685.85938,39685.85938,39644.14844,39663.44141
2022-05-04 23:05:00,39657.87891,39659.32031,39613.30859,39649.26953
2022-05-04 23:10:00,39640.14062,39672.28125,39636.30859,39647.51953
2022-05-04 23:15:00,39636.30859,39637.80859,39598.96875,39599.73047
2022-05-04 23:20:00,39602.10938,39635.46875,39597.60938,39629.66016
2022-05-04 23:25:00,39635.96875,39642.26172,39603.66016,39604.32031
2022-05-04 23:30:00,39608.71094,39615.82812,39593.69922,39614.62891
2022-05-04 23:35:00,39612.12891,39623.46094,39598.39062,39603.89844
2022-05-04 23:40:00,39609.21094,39617.55859,39598.39062,39613.80078
2022-05-04 23:45:00,39616.57031,39717.66016,39613.80078,39697.48828
2022-05-04 23:50:00,39696.67969,39696.67969,39652.05859,39682.25000
2022-05-04 23:55:00,39679.21875,39690.00000,39656.12891,39680.14844
2022-05-05 00:00:00,39672.83984,39721.69141,39667.30859,39719.16016
2022-05-05 00:05:00,39712.78906,39718.66016,39671.05078,39694.82812
2022-05-05 00:10:00,39670.50000,39679.53906,39637.03125,39637.03125
2022-05-05 00:15:00,39641.71094,39659.07031,39567.39062,39592.64062
2022-05-05 00:20:00,39600.55859,39647.55078,39540.48047,39624.39062
2022-05-05 00:25:00,39615.83984,39656.14062,39608.53906,39615.05859
2022-05-05 00:30:00,39663.32812,39691.01953,39633.30078,39665.57812
2022-05-05 00:35:00,39685.07031,39692.48828,39672.30078,39683.57031
2022-05-05 00:40:00,39678.67969,39683.57031,39660.33984,39662.51953
2022-05-05 00:45:00,39662.51953,39669.37891,39634.35938,39637.91016
2022-05-05 00:50:00,39637.66016,39638.96094,39611.80859,39615.32812
2022-05-05 00:55:00,39623.98047,39647.42188,39610.92969,39645.82031
2022-05-05 01:00:00,39641.05078,39649.98828,39621.00000,39628.57812
2022-05-05 01:05:00,39642.03125,39649.92969,39614.07812,39630.23828
2022-05-05 01:10:00,39614.07812,39634.69922,39608.73047,39613.71094
2022-05-05 01:15:00,39617.10156,39635.42969,39584.82812,39590.46094
2022-05-05 01:20:00,39595.12891,39611.50000,39584.78906,39601.92188
2022-05-05 01:25:00,39604.33984,39657.32031,39601.89844,39645.19922
2022-05-05 01:30:00,39646.57812,39693.67188,39624.05078,39652.19922
2022-05-05 01:35:00,39655.80078,39675.39844,39650.73828,39670.71094
2022-05-05 01:40:00,39664.39062,39677.08984,39649.73828,39658.14062
2022-05-05 01:45:00,39664.23828,39664.23828,39624.80078,39641.16016
2022-05-05 01:50:00,39652.46875,39652.46875,39593.69922,39616.85938
